datetime,id,power,voltage
1563212254,115609,0,0
1563212314,115609,0,222
1563212374,115609,0,224
1563212434,115609,0,224
1563212494,115609,0,225
1563212554,115609,0,224
1563212614,115609,0,224
1563212674,115609,0,224
1563212734,115609,0,223
1563212794,115609,0,224
1563212854,115609,0,224
1563212914,115609,0,224
1563212974,115609,0,224
1563213034,115609,0,224
1563213094,115609,0,224
1563213154,115609,0,224
1563213214,115609,0,225
1563213274,115609,0,226
1563213334,115609,0,225
1563213338,139562,0,0
1563213394,115609,0,224
1563213398,139562,0,42
1563213454,115609,0,225
1563213458,139562,0,6
1563213514,115609,0,225
1563213518,139562,0,6
1563213574,115609,689,223
1563213578,139562,0,6
1563213634,115609,1099,222
1563213638,139562,0,6
1563213694,115609,1092,222
1563213698,139562,0,6
1563213754,115609,915,222
1563213758,139562,0,6
1563213814,115609,0,225
1563213818,139562,0,6
1563213874,115609,0,225
1563213878,139562,0,6
1563213934,115609,0,225
1563213938,139562,0,6
1563213994,115609,0,226
1563213998,139562,0,6
1563214054,115609,0,226
1563214058,139562,0,6
1563214114,115609,0,226
1563214118,139562,0,6
1563214174,115609,0,226
1563214178,139562,0,6
1563214234,115609,0,226
1563214238,139562,0,6
1563214294,115609,0,226
1563214298,139562,0,6
1563214354,115609,0,225
1563214358,139562,0,6
1563214414,115609,0,225
1563214418,139562,0,6
1563214474,115609,0,224
1563214478,139562,0,6
1563214534,115609,0,225
1563214538,139562,0,6
1563214594,115609,0,225
1563214598,139562,0,6
1563214654,115609,0,226
1563214658,139562,0,6
1563214714,115609,0,225
1563214718,139562,0,6
1563214774,115609,0,224
1563214778,139562,0,6
1563214834,115609,0,224
1563214838,139562,0,6
1563214894,115609,0,224
1563214898,139562,0,6
1563214954,115609,0,223
1563214958,139562,0,6
1563215014,115609,0,224
1563215018,139562,0,6
1563215074,115609,0,224
1563215078,139562,0,6
1563215134,115609,0,225
1563215138,139562,0,6
1563215194,115609,0,225
1563215198,139562,0,6
1563215254,115609,0,224
1563215258,139562,0,6
1563215314,115609,0,223
1563215318,139562,0,6
1563215374,115609,0,223
1563215378,139562,0,6
1563215434,115609,0,223
1563215438,139562,0,6
1563215494,115609,0,224
1563215498,139562,0,6
1563215554,115609,0,223
1563215558,139562,0,6
1563215614,115609,0,224
1563215618,139562,0,6
1563215674,115609,0,224
1563215678,139562,0,6
1563215734,115609,0,224
1563215738,139562,0,6
1563215794,115609,0,224
1563215798,139562,0,6
1563215855,115609,0,224
1563215858,139562,0,6
1563215915,115609,0,224
1563215918,139562,0,6
1563215975,115609,0,224
1563215978,139562,0,6
1563216035,115609,0,224
1563216038,139562,0,6
1563216095,115609,0,225
1563216098,139562,0,6
1563216155,115609,0,227
1563216158,139562,0,6
1563216215,115609,0,227
1563216218,139562,0,6
1563216275,115609,0,227
1563216278,139562,0,6
1563216335,115609,0,227
1563216338,139562,0,6
1563216395,115609,0,227
1563216398,139562,0,6
1563216455,115609,0,227
1563216458,139562,0,6
1563216515,115609,0,227
1563216518,139562,0,6
1563216575,115609,0,227
1563216578,139562,0,6
1563216635,115609,0,227
1563216638,139562,0,6
1563216695,115609,0,227
1563216698,139562,0,6
1563216755,115609,0,226
1563216758,139562,0,6
1563216815,115609,0,227
1563216818,139562,0,6
1563216875,115609,0,227
1563216878,139562,0,6
1563216935,115609,0,226
1563216939,139562,0,6
1563216995,115609,0,227
1563216999,139562,0,6
1563217055,115609,0,225
1563217059,139562,0,6
1563217115,115609,0,224
1563217119,139562,0,6
1563217175,115609,0,225
1563217179,139562,0,6
1563217235,115609,0,225
1563217239,139562,0,6
1563217295,115609,0,226
1563217299,139562,0,6
1563217355,115609,0,226
1563217359,139562,0,6
1563217415,115609,0,226
1563217419,139562,0,6
1563217475,115609,0,226
1563217479,139562,0,6
1563217535,115609,0,226
1563217539,139562,0,6
1563217595,115609,0,226
1563217599,139562,0,6
1563217662,115609,0,0
1563217659,139562,0,6
1563217722,115609,0,224
1563217719,139562,0,6
1563217782,115609,0,227
1563217779,139562,0,6
1563217842,115609,0,227
1563217839,139562,0,6
1563217902,115609,0,227
1563217899,139562,0,6
1563217962,115609,0,227
1563217959,139562,0,6
1563218022,115609,0,226
1563218019,139562,0,6
1563218082,115609,0,226
1563218079,139562,0,6
1563218142,115609,0,225
1563218139,139562,0,6
1563218202,115609,0,226
1563218199,139562,0,6
1563218262,115609,0,226
1563218259,139562,0,6
1563218322,115609,0,226
1563218319,139562,0,6
1563218382,115609,0,225
1563218379,139562,0,6
1563218442,115609,0,225
1563218439,139562,0,6
1563218502,115609,0,225
1563218499,139562,0,6
1563218562,115609,0,226
1563218559,139562,0,6
1563218622,115609,0,226
1563218619,139562,0,6
1563218682,115609,0,226
1563218679,139562,0,6
1563218742,115609,0,225
1563218739,139562,0,6
1563218802,115609,14,224
1563218799,139562,0,6
1563218862,115609,1087,221
1563218859,139562,0,6
1563218922,115609,1087,221
1563218919,139562,0,6
1563218982,115609,1100,223
1563218979,139562,0,6
1563219043,115609,1104,223
1563219039,139562,0,6
1563219103,115609,1101,223
1563219163,115609,1110,224
1563219223,115609,1115,224
1563219283,115609,1114,224
1563219343,115609,1117,224
1563219403,115609,1119,224
1563219463,115609,1121,224
1563219523,115609,1115,224
1563219583,115609,1117,224
1563219643,115609,1120,224
1563219703,115609,1125,225
1563219763,115609,1117,224
1563219823,115609,1113,224
1563219883,115609,1119,224
1563219943,115609,1120,224
1563220003,115609,1124,225
1563220063,115609,1126,225
1563220123,115609,1131,225
1563220183,115609,1137,226
1563220243,115609,1136,226
1563220303,115609,1133,226
1563220363,115609,1127,225
1563220423,115609,1133,226
1563220483,115609,70,228
1563220543,115609,0,227
1563220603,115609,0,227
1563220663,115609,0,227
1563220723,115609,0,227
1563220783,115609,0,226
1563220843,115609,0,226
1563220903,115609,0,226
1563220963,115609,0,226
1563221023,115609,0,227
1563221083,115609,0,227
1563221143,115609,0,227
1563221203,115609,0,227
1563221264,115609,0,227
1563221324,115609,0,228
1563221384,115609,0,228
1563221444,115609,0,228
1563221504,115609,0,227
1563221564,115609,0,228
1563221624,115609,0,227
1563221684,115609,0,227
1563221744,115609,0,227
1563221804,115609,0,227
1563221864,115609,0,226
1563221924,115609,0,226
1563221984,115609,0,226
1563222044,115609,0,225
1563222104,115609,0,225
1563222164,115609,0,226
1563222224,115609,0,226
1563222284,115609,0,226
1563222344,115609,0,225
1563222404,115609,0,224
1563222464,115609,0,224
1563222524,115609,0,223
1563222584,115609,0,224
1563222644,115609,0,224
1563222704,115609,0,224
1563222764,115609,0,224
1563222824,115609,0,223
1563222884,115609,0,222
1563222944,115609,0,224
1563223004,115609,0,224
1563223064,115609,0,226
1563223124,115609,0,225
1563223184,115609,0,224
1563223244,115609,240,224
1563223304,115609,1089,222
1563223364,115609,1088,221
1563223424,115609,1075,220
1563223484,115609,1049,219
1563223544,115609,0,222
1563223604,115609,0,221
1563223664,115609,0,222
1563223724,115609,0,222
1563223784,115609,0,222
1563223844,115609,0,222
1563223904,115609,0,222
1563223964,115609,0,222
1563224024,115609,0,222
1563224084,115609,0,223
1563224144,115609,0,223
1563224204,115609,0,223
1563224264,115609,0,223
1563224324,115609,0,223
1563224384,115609,0,222
1563224444,115609,0,220
1563224504,115609,0,220
1563224564,115609,0,221
1563224624,115609,0,222
1563224684,115609,0,223
1563224744,115609,0,222
1563224804,115609,0,222
1563224865,115609,0,222
1563224925,115609,0,221
1563224985,115609,0,219
1563225045,115609,0,219
1563225105,115609,0,219
1563225165,115609,0,219
1563225225,115609,0,220
1563225285,115609,0,219
1563225345,115609,0,218
1563225405,115609,276,217
1563225465,115609,1038,216
1563225525,115609,1053,218
1563225585,115609,1058,218
1563225645,115609,1054,218
1563225705,115609,1041,217
1563225765,115609,944,214
1563225825,115609,0,216
1563225885,115609,0,217
1563225945,115609,0,217
1563226005,115609,0,219
1563226065,115609,0,221
1563226125,115609,0,220
1563226185,115609,0,220
1563226245,115609,0,220
1563226305,115609,0,219
1563226365,115609,0,219
1563226425,115609,0,219
1563226485,115609,0,219
1563226545,115609,0,220
1563226605,115609,0,221
1563226665,115609,0,221
1563226725,115609,0,221
1563226785,115609,0,220
1563226845,115609,0,219
1563226905,115609,0,219
1563226965,115609,0,219
1563227025,115609,0,219
1563227085,115609,0,218
1563227145,115609,0,218
1563227205,115609,0,219
1563227265,115609,0,220
1563227325,115609,0,221
1563227385,115609,0,222
1563227445,115609,0,222
1563227505,115609,0,221
1563227565,115609,0,220
1563227625,115609,0,221
1563227685,115609,0,221
1563227745,115609,0,221
1563227805,115609,0,222
1563227865,115609,0,221
1563227925,115609,0,221
1563227985,115609,0,221
1563228045,115609,0,221
1563228105,115609,0,221
1563228165,115609,0,221
1563228225,115609,0,220
1563228285,115609,0,219
1563228345,115609,0,219
1563228405,115609,0,218
1563228466,115609,0,218
1563228526,115609,0,218
1563228586,115609,0,219
1563228646,115609,0,217
1563228706,115609,0,218
1563228766,115609,0,217
1563228826,115609,0,216
1563228886,115609,0,214
