datetime,id,value
1604199600,2,0.02
1604199600,3,0.039
1604199600,5,0.048
1604199600,6,0.0
1604199600,9,0.033
1604200500,2,0.036
1604200500,3,0.038
1604200500,5,0.705
1604200500,6,0.0
1604200500,9,0.0
1604201400,2,0.033
1604201400,3,0.039
1604201400,5,0.021
1604201400,6,0.0
1604201400,9,0.032
1604202300,2,0.016
1604202300,3,0.039
1604202300,5,0.033
1604202300,6,0.0
1604202300,9,0.03
1604203200,2,0.025
1604203200,3,0.039
1604203200,5,0.018
1604203200,6,0.0
1604203200,9,0.039
1604204100,2,0.022
1604204100,3,0.039
1604204100,5,0.014
1604204100,6,0.0
1604204100,9,0.002
1604205000,2,0.01
1604205000,3,0.039
1604205000,5,0.022
1604205000,6,0.0
1604205000,9,0.017
1604205900,2,0.023
1604205900,3,0.039
1604205900,5,0.026
1604205900,6,0.0
1604205900,9,0.015
1604206800,2,0.023
1604206800,3,0.039
1604206800,5,0.01
1604206800,6,0.0
1604206800,9,0.039
1604207700,2,0.009
1604207700,3,0.039
1604207700,5,0.009
1604207700,6,0.0
1604207700,9,0.031
1604208600,2,0.022
1604208600,3,0.039
1604208600,5,0.03
1604208600,6,0.0
1604208600,9,0.0
1604209500,2,0.024
1604209500,3,0.039
1604209500,5,0.013
1604209500,6,0.0
1604209500,9,0.032
1604210400,2,0.01
1604210400,3,0.039
1604210400,5,0.013
1604210400,6,0.0
1604210400,9,0.006
1604211300,2,0.02
1604211300,3,0.039
1604211300,5,0.022
1604211300,6,0.0
1604211300,9,0.05
1604212200,2,0.024
1604212200,3,0.039
1604212200,5,0.025
1604212200,6,0.0
1604212200,9,0.014
1604213100,2,0.011
1604213100,3,0.039
1604213100,5,0.013
1604213100,6,0.0
1604213100,9,0.0
1604214000,2,0.018
1604214000,3,0.039
1604214000,5,0.012
1604214000,6,0.0
1604214000,9,0.033
1604214900,2,0.023
1604214900,3,0.039
1604214900,5,0.027
1604214900,6,0.0
1604214900,9,0.013
1604215800,2,0.014
1604215800,3,0.039
1604215800,5,0.013
1604215800,6,0.0
1604215800,9,0.053
1604216700,2,0.016
1604216700,3,0.039
1604216700,5,0.008
1604216700,6,0.0
1604216700,9,0.005
1604217600,2,0.023
1604217600,3,0.039
1604217600,5,0.016
1604217600,6,0.0
1604217600,9,0.004
1604218500,2,0.013
1604218500,3,0.039
1604218500,5,0.03
1604218500,6,0.0
1604218500,9,0.028
1604219400,2,0.012
1604219400,3,0.028
1604219400,5,0.012
1604219400,6,0.0
1604219400,9,0.016
1604220300,2,0.022
1604220300,3,0.0
1604220300,5,0.012
1604220300,6,0.0
1604220300,9,0.053
1604221200,2,0.015
1604221200,3,0.0
1604221200,5,0.024
1604221200,6,0.0
1604221200,9,0.0
1604222100,2,0.01
1604222100,3,0.0
1604222100,5,0.021
1604222100,6,0.0
1604222100,9,0.008
1604223000,2,0.021
1604223000,3,0.0
1604223000,5,0.009
1604223000,6,0.0
1604223000,9,0.024
1604223900,2,0.018
1604223900,3,0.0
1604223900,5,0.008
1604223900,6,0.0
1604223900,9,0.015
1604224800,2,0.007
1604224800,3,0.0
1604224800,5,0.027
1604224800,6,0.0
1604224800,9,0.056
1604225700,2,0.021
1604225700,3,0.0
1604225700,5,0.017
1604225700,6,0.0
1604225700,9,0.0
1604226600,2,0.069
1604226600,3,0.0
1604226600,5,0.012
1604226600,6,0.0
1604226600,9,0.005
1604227500,2,0.01
1604227500,3,0.0
1604227500,5,0.013
1604227500,6,0.0
1604227500,9,0.232
1604228400,2,0.033
1604228400,3,0.0
1604228400,5,0.034
1604228400,6,0.0
1604228400,9,0.442
1604229300,2,0.031
1604229300,3,0.0
1604229300,5,0.01
1604229300,6,0.002
1604229300,9,0.365
1604230200,2,0.018
1604230200,3,0.0
1604230200,5,0.009
1604230200,6,0.003
1604230200,9,0.006
1604231100,2,0.027
1604231100,3,0.0
1604231100,5,0.015
1604231100,6,0.003
1604231100,9,0.2
1604232000,2,0.023
1604232000,3,0.0
1604232000,5,0.028
1604232000,6,0.002
1604232000,9,0.003
1604232900,2,0.008
1604232900,3,0.0
1604232900,5,0.013
1604232900,6,0.003
1604232900,9,0.017
1604233800,2,0.019
1604233800,3,0.0
1604233800,5,0.012
1604233800,6,0.0
1604233800,9,0.152
1604234700,2,0.027
1604234700,3,0.0
1604234700,5,0.04
1604234700,6,0.0
1604234700,9,0.001
1604235600,2,0.039
1604235600,3,0.0
1604235600,5,0.048
1604235600,6,0.0
1604235600,9,0.035
1604236500,2,0.03
1604236500,3,0.0
1604236500,5,0.03
1604236500,6,0.0
1604236500,9,0.001
1604237400,2,0.036
1604237400,3,0.0
1604237400,5,0.034
1604237400,6,0.0
1604237400,9,0.023
1604238300,2,0.04
1604238300,3,0.0
1604238300,5,0.033
1604238300,6,0.0
1604238300,9,0.05
1604239200,2,0.212
1604239200,3,0.0
1604239200,5,0.024
1604239200,6,0.0
1604239200,9,0.0
1604240100,2,0.201
1604240100,3,0.0
1604240100,5,0.878
1604240100,6,0.0
1604240100,9,0.033
1604241000,2,0.132
1604241000,3,0.0
1604241000,5,0.336
1604241000,6,0.0
1604241000,9,0.0
1604241900,2,0.031
1604241900,3,0.0
1604241900,5,0.042
1604241900,6,0.0
1604241900,9,0.037
1604242800,2,0.024
1604242800,3,0.0
1604242800,5,0.039
1604242800,6,0.0
1604242800,9,0.035
1604243700,2,0.047
1604243700,3,0.0
1604243700,5,0.055
1604243700,6,0.0
1604243700,9,0.012
1604244600,2,0.049
1604244600,3,0.0
1604244600,5,0.041
1604244600,6,0.0
1604244600,9,0.027
1604245500,2,0.045
1604245500,3,0.0
1604245500,5,0.025
1604245500,6,0.0
1604245500,9,0.02
1604246400,2,0.053
1604246400,3,0.0
1604246400,5,0.041
1604246400,6,0.0
1604246400,9,0.058
1604247300,2,0.05
1604247300,3,0.0
1604247300,5,0.034
1604247300,6,0.018
1604247300,9,0.028
1604248200,2,0.038
1604248200,3,0.0
1604248200,5,0.026
1604248200,6,0.0
1604248200,9,0.035
1604249100,2,0.058
1604249100,3,0.0
1604249100,5,0.052
1604249100,6,0.0
1604249100,9,0.026
1604250000,2,0.045
1604250000,3,0.0
1604250000,5,0.044
1604250000,6,0.0
1604250000,9,0.054
1604250900,2,0.043
1604250900,3,0.0
1604250900,5,0.032
1604250900,6,0.0
1604250900,9,0.04
1604251800,2,0.054
1604251800,3,0.0
1604251800,5,0.042
1604251800,6,0.0
1604251800,9,0.047
1604252700,2,0.02
1604252700,3,0.0
1604252700,5,0.034
1604252700,6,0.0
1604252700,9,0.024
1604253600,2,0.018
1604253600,3,0.0
1604253600,5,0.023
1604253600,6,0.0
1604253600,9,0.043
1604254500,2,0.028
1604254500,3,0.0
1604254500,5,0.037
1604254500,6,0.0
1604254500,9,0.069
1604255400,2,0.018
1604255400,3,0.0
1604255400,5,0.046
1604255400,6,0.0
1604255400,9,0.042
1604256300,2,0.017
1604256300,3,0.0
1604256300,5,0.039
1604256300,6,0.0
1604256300,9,0.025
1604257200,2,0.027
1604257200,3,0.0
1604257200,5,0.071
1604257200,6,0.0
1604257200,9,0.039
1604258100,2,0.021
1604258100,3,0.0
1604258100,5,0.069
1604258100,6,0.0
1604258100,9,0.05
1604259000,2,0.014
1604259000,3,0.0
1604259000,5,0.02
1604259000,6,0.0
1604259000,9,0.053
1604259900,2,0.027
1604259900,3,0.0
1604259900,5,0.018
1604259900,6,0.0
1604259900,9,0.021
1604260800,2,0.023
1604260800,3,0.0
1604260800,5,0.031
1604260800,6,0.0
1604260800,9,0.044
1604261700,2,0.014
1604261700,3,0.0
1604261700,5,0.023
1604261700,6,0.0
1604261700,9,0.034
1604262600,2,0.056
1604262600,3,0.0
1604262600,5,0.01
1604262600,6,0.0
1604262600,9,0.071
1604263500,2,0.086
1604263500,3,0.0
1604263500,5,0.03
1604263500,6,0.0
1604263500,9,0.014
1604264400,2,0.041
1604264400,3,0.0
1604264400,5,0.05
1604264400,6,0.0
1604264400,9,0.048
1604265300,2,0.053
1604265300,3,0.0
1604265300,5,0.026
1604265300,6,0.0
1604265300,9,0.021
1604266200,2,0.045
1604266200,3,0.0
1604266200,5,0.023
1604266200,6,0.0
1604266200,9,0.079
1604267100,2,0.041
1604267100,3,0.0
1604267100,5,0.042
1604267100,6,0.0
1604267100,9,0.013
1604268000,2,0.052
1604268000,3,0.0
1604268000,5,0.027
1604268000,6,0.0
1604268000,9,0.048
1604268900,2,0.047
1604268900,3,0.0
1604268900,5,0.027
1604268900,6,0.002
1604268900,9,0.013
1604269800,2,0.038
1604269800,3,0.001
1604269800,5,0.043
1604269800,6,0.0
1604269800,9,0.081
1604270700,2,0.058
1604270700,3,0.035
1604270700,5,0.066
1604270700,6,0.0
1604270700,9,0.021
1604271600,2,0.045
1604271600,3,0.037
1604271600,5,0.05
1604271600,6,0.0
1604271600,9,0.042
1604272500,2,0.034
1604272500,3,0.038
1604272500,5,0.061
1604272500,6,0.0
1604272500,9,0.024
1604273400,2,0.032
1604273400,3,0.037
1604273400,5,0.075
1604273400,6,0.0
1604273400,9,0.066
1604274300,2,0.027
1604274300,3,0.037
1604274300,5,0.105
1604274300,6,0.0
1604274300,9,0.04
1604275200,2,0.024
1604275200,3,0.038
1604275200,5,0.635
1604275200,6,0.0
1604275200,9,0.016
1604276100,2,0.035
1604276100,3,0.037
1604276100,5,0.52
1604276100,6,0.0
1604276100,9,0.339
1604277000,2,0.028
1604277000,3,0.038
1604277000,5,0.097
1604277000,6,0.0
1604277000,9,0.474
1604277900,2,0.019
1604277900,3,0.038
1604277900,5,0.069
1604277900,6,0.0
1604277900,9,0.187
1604278800,2,0.024
1604278800,3,0.038
1604278800,5,0.06
1604278800,6,0.0
1604278800,9,0.017
1604279700,2,0.021
1604279700,3,0.038
1604279700,5,0.032
1604279700,6,0.0
1604279700,9,0.048
1604280600,2,0.01
1604280600,3,0.038
1604280600,5,0.024
1604280600,6,0.0
1604280600,9,0.021
1604281500,2,0.02
1604281500,3,0.038
1604281500,5,0.029
1604281500,6,0.0
1604281500,9,0.079
1604282400,2,0.024
1604282400,3,0.038
1604282400,5,0.064
1604282400,6,0.0
1604282400,9,0.024
1604283300,2,0.011
1604283300,3,0.038
1604283300,5,0.023
1604283300,6,0.0
1604283300,9,0.015
1604284200,2,0.017
1604284200,3,0.038
1604284200,5,0.019
1604284200,6,0.0
1604284200,9,0.028
1604285100,2,0.023
1604285100,3,0.038
1604285100,5,0.038
1604285100,6,0.0
1604285100,9,0.028
1604286000,2,0.015
1604286000,3,0.038
1604286000,5,0.032
1604286000,6,0.0
1604286000,9,0.053
1604286900,2,0.012
1604286900,3,0.039
1604286900,5,0.015
1604286900,6,0.0
1604286900,9,0.0
1604287800,2,0.023
1604287800,3,0.038
1604287800,5,0.013
1604287800,6,0.0
1604287800,9,0.03
1604288700,2,0.018
1604288700,3,0.039
1604288700,5,0.027
1604288700,6,0.0
1604288700,9,0.004
1604289600,2,0.008
1604289600,3,0.038
1604289600,5,0.017
1604289600,6,0.0
1604289600,9,0.056
1604290500,2,0.023
1604290500,3,0.039
1604290500,5,0.015
1604290500,6,0.0
1604290500,9,0.014
1604291400,2,0.02
1604291400,3,0.038
1604291400,5,0.017
1604291400,6,0.0
1604291400,9,0.003
1604292300,2,0.008
1604292300,3,0.037
1604292300,5,0.034
1604292300,6,0.0
1604292300,9,0.031
1604293200,2,0.019
1604293200,3,0.038
1604293200,5,0.007
1604293200,6,0.0
1604293200,9,0.01
1604294100,2,0.022
1604294100,3,0.038
1604294100,5,0.011
1604294100,6,0.0
1604294100,9,0.061
1604295000,2,0.01
1604295000,3,0.038
1604295000,5,0.023
1604295000,6,0.0
1604295000,9,0.0
1604295900,2,0.016
